Date,Open,High,Low,Close,Volume
2000-01-03,93.38876712603992,93.38876712603992,90.63277484154465,91.61705780029297,8164300
2000-01-04,90.41625176431455,90.75090804125628,87.96538667730015,88.03428649902344,8089800
2000-01-05,88.1523553780147,89.15632369518279,86.4593891961234,88.19172668457031,12177900
2000-01-06,87.95552306685819,89.13666258879451,86.77438354492186,86.77438354492188,6227200
2000-01-07,88.388636230809,91.8139419555664,88.2311509101305,91.8139419555664,8066500
2000-01-10,92.12885284423828,92.54225154289833,91.36111240386964,92.12885284423828,5741700
2000-01-11,91.85328695435837,92.03045788933248,90.39654815568231,91.0264892578125,7503700
2000-01-12,91.08559236905626,91.08559236905626,90.00288055139944,90.1209945678711,6907700
2000-01-13,91.00683537187247,91.81394769076643,90.25878005192197,91.34149169921875,5158300
2000-01-14,92.30605817434257,92.89662796432557,91.95171630035277,92.58165740966797,7437300
2000-01-18,91.55798664248353,92.36509854365356,91.45955836185303,91.853271484375,6488500
2000-01-19,91.53834581375122,92.60137176513672,91.34148915608725,92.60137176513672,6157900
2000-01-20,92.58162606524269,92.58162606524269,90.59337511210862,91.18394470214844,5800100
2000-01-21,91.65644171536097,91.65644171536097,90.75090126886042,90.98712921142578,6244800
2000-01-24,91.75486463004405,91.87297859438223,87.817732485438,88.4083023071289,7896900
2000-01-25,88.51657204352932,89.41226959228516,87.56181751353685,89.41226959228516,9942500
2000-01-26,88.82167380341835,89.16617275988108,88.25078981842297,88.70355987548828,5158100
2000-01-27,89.3531886881048,89.58941654980501,87.01059572624438,88.3492202758789,10922700
2000-01-28,87.83741944496415,88.23113266524638,85.37671181820025,85.59325408935547,11916200
2000-01-31,85.55387387786058,87.98505276049193,85.04204674467503,87.91615295410156,10768700
2000-02-01,88.03427067183601,89.25478158007704,87.2665299392328,88.7823257446289,8419900
2000-02-02,88.99886834478822,89.60912380125546,88.42798420809305,88.86106872558594,6205900
2000-02-03,88.7429454641954,90.23905545871156,88.19174704516314,90.1996841430664,7997500
2000-02-04,90.19966523761737,90.71149223372781,89.53035301193448,89.82563781738281,4925400
2000-02-07,89.80595725162496,89.94375683530785,89.09727367839864,89.6878433227539,5845800
2000-02-08,90.69184395057808,91.0658715249347,90.4753016706874,90.90838623046875,4936400
2000-02-09,91.00683161907033,91.00683161907033,88.98905090504161,88.99889373779297,8511500
2000-02-10,89.21536617321158,89.80593567568208,88.74291057123517,89.17599487304688,6690600
2000-02-11,89.35319578524052,89.41225275535635,86.95154566719704,87.36494445800781,9849800
2000-02-14,88.05392563727594,88.05392563727594,87.12869994871077,87.87675476074219,8528800
2000-02-15,87.71929955300283,88.95949611311036,86.80391637768535,88.87091064453125,11078300
2000-02-16,88.42804401040935,88.78238612799336,87.43391751385421,87.56187438964844,8845400
2000-02-17,88.46731875662076,88.46731875662076,87.06963748565501,87.1090087890625,7584200
2000-02-18,87.48307207561255,87.48307207561255,84.80582234512576,85.23890686035156,9409200
2000-02-22,85.16013844395766,85.88850763545706,84.11679879126932,85.0223388671875,16415400
2000-02-23,85.43573654489059,86.59719010621514,84.7270530159468,86.02630615234375,12119000
2000-02-24,86.10507949408613,86.32162176076078,83.84122852430562,84.29399871826172,17375000
2000-02-25,85.16017322368168,86.12477065501788,83.8609195406574,83.98887634277344,10559900
2000-02-28,84.01840186841561,86.10508195230784,83.60500298387092,85.75074005126953,13397800
2000-02-29,85.71138355416457,86.57755279541016,85.51452690842694,86.57755279541016,8242500
2000-03-01,86.69563901053057,87.56180797430517,86.43972545305171,87.20746612548828,6868000
2000-03-02,87.36493828633878,87.64053746074364,86.5184551078096,87.26651000976562,7600200
2000-03-03,88.4673670860811,89.27447924685754,88.01459684954797,88.90045166015625,12770300
2000-03-06,88.7035990529069,89.03825532984862,87.40434527183902,88.03428649902344,11967100
2000-03-07,88.1917538532522,88.29018214996341,85.1798479738889,86.33145904541016,20062000
2000-03-08,85.96729194257902,86.83346113091736,85.06175142749804,86.22320556640625,11808500
2000-03-09,86.45936940556199,88.74290466308592,85.75068604977868,88.74290466308594,5500900
2000-03-10,88.30987150343692,89.4516397930489,87.89647263995673,88.27050018310547,7924600
2000-03-13,86.10507533472313,88.48704015308195,85.47513422573567,87.30590057373047,10540500
2000-03-14,87.73897764514808,88.2508047527931,85.7704118465134,86.0656967163086,8263900
2000-03-15,86.22318695845965,88.46735209847435,85.71135982126331,88.07363891601562,10300800
2000-03-16,89.21543010065704,92.50293602007667,88.74297416014166,92.1879653930664,25601400
2000-03-17,92.08670316864104,93.46820107301414,91.8498749564628,92.79718780517578,10272900
2000-03-20,92.75774015937927,93.05377550031345,91.43544896987322,92.32355499267578,12502300
2000-03-21,91.9091319886021,94.5734508244323,91.2578540509547,94.21820831298828,13612600
2000-03-22,94.45500537968417,95.26416861005757,93.90240610040478,94.79051208496094,8260000
2000-03-23,94.19841693421348,96.9219412453221,94.19841693421348,96.4088134765625,11654500
2000-03-24,96.54697032861705,98.36265333561475,95.81674998884624,96.98115539550781,11462900
2000-03-27,96.86272877638648,97.11929264641357,95.87594466089762,95.95488739013672,8798600
2000-03-28,95.52073499610911,96.61606573831656,95.10628552608468,95.4023208618164,6334400
2000-03-29,95.71812261749727,96.30032563135629,94.51424519900917,95.50102996826172,6747500
2000-03-30,94.830005248087,95.94507190709157,92.91564301935351,93.90242767333984,9491900
